,timestamp,difficulty,hashrate,block_time
325,1573430400,138962,9914631546203,60.72
326,1573344000,146429,10526730525387,59.25
327,1573257600,139478,9964504985840,60.53
328,1573171200,139083,9906391050366,60.84
329,1573084800,142041,10134471509593,60.38
330,1572998400,151045,10818674891870,60.42
331,1572912000,147201,10560203716964,59.91
332,1572825600,145105,10432258664647,60.01
333,1572739200,146489,10462786487822,60.37
334,1572652800,148793,10662108878070,60.15
335,1572566400,149193,10663849426195,60.45
336,1572480000,143434,10270502189489,60.48
337,1572393600,153810,11005377003313,60.35
338,1572307200,150136,10682713125432,60.98
339,1572220800,151349,10892393363384,59.36
340,1572134400,138755,9922135339079,60.38
341,1572048000,146762,10475974691314,60.29
342,1571961600,147132,10492059196762,60.48
343,1571875200,147633,10613993436915,59.75
344,1571788800,151214,10858852933657,60.8
345,1571702400,154649,11050074249028,59.79
346,1571616000,142323,10166109627319,60.51
347,1571529600,151565,10789456322357,60.87
348,1571443200,147582,10630301621539,59.28
349,1571356800,143651,10318758234459,60.03
350,1571270400,147257,10492239575300,60.81
351,1571184000,142571,10244628241321,59.74
352,1571097600,149178,10593975722429,61.47
353,1571011200,148793,10672891453788,60.03
354,1570924800,144732,10369956387487,59.89
355,1570838400,138153,9885862046944,60.45
356,1570752000,147489,10601345211261,59.7
357,1570665600,133656,9546411264091,60.35
358,1570579200,140908,10041446219962,60.61
359,1570492800,129345,9301808991378,59.23
360,1570406400,125036,8906643150886,60.83
361,1570320000,122315,8810671874283,59.05
362,1570233600,118490,8422746197493,61.17
363,1570147200,108434,7749774862605,60.51
364,1570060800,109161,7789481008543,59.99
365,1569974400,92494,6725998925904,57.3
366,1569888000,261473,18512958550543,77.95
367,1569801600,323481,23084634008905,60.5
368,1569715200,301321,21600577183129,59.85
369,1569628800,306880,21943121536394,60.2
370,1569542400,295107,21099104683852,60.07
371,1569456000,306551,21941152518091,60.46
372,1569369600,291353,20935378240615,60.54
373,1569283200,291012,20830599601419,60.19
374,1569196800,287441,20654612901658,59.81
375,1569110400,294622,20986975350803,60.94
376,1569024000,300866,21629469692226,59.61
377,1568937600,294512,21056575304237,60.36
378,1568851200,286832,20504139499122,60.54
379,1568764800,281412,20108041517241,60.04
380,1568678400,277633,19881861379058,60.1
381,1568592000,281680,20124173394202,60.59
382,1568505600,294757,21098297990225,59.93
383,1568419200,290284,20750108075010,60.18
384,1568332800,271138,19385120197257,60.4
385,1568246400,273292,19540718691156,60.1
386,1568160000,274373,19574538205423,60.41
387,1568073600,286261,20414297451460,60.93
388,1567987200,297568,21356645456361,59.51
389,1567900800,267604,19102576167124,60.23
390,1567814400,275098,19698968429830,60.45
391,1567728000,264235,18922298278570,59.91
392,1567641600,262459,18805955009501,60.23
393,1567555200,276013,19737608004441,60.55
394,1567468800,278473,19913746969077,60.26
395,1567382400,266861,19117993359709,60.52
396,1567296000,254749,18283896704164,59.16
397,1567209600,198906,14302105938035,60.03
398,1567123200,195950,14037275782617,59.82
399,1567036800,162724,11660080236161,59.47
400,1566950400,133553,9525531259819,60.3
401,1566864000,138595,9912044036794,60.0
402,1566777600,130346,9381644238679,59.79
403,1566691200,137148,9813127352064,60.22
404,1566604800,142300,10157501899673,60.23
405,1566518400,139025,9954193098069,60.29
406,1566432000,139248,9999321831844,59.67
407,1566345600,127758,9122558454929,60.34
408,1566259200,136762,9746779874050,60.84
409,1566172800,140144,10064842521191,59.91
410,1566086400,139205,9892765844787,60.91
411,1566000000,140477,10058928811573,59.88
412,1565913600,141061,10116857761156,60.18
413,1565827200,136014,9721016293139,60.15
414,1565740800,144614,10369297545952,60.21
415,1565654400,136300,9758780565334,60.08
416,1565568000,144278,10340234039165,59.97
417,1565481600,137462,9857050239617,60.51
418,1565395200,135083,9667638626766,60.1
419,1565308800,132789,9523216485358,59.75
420,1565222400,122717,8787421234514,60.5
421,1565136000,130329,9324175417751,60.43
422,1565049600,132413,9451547772119,60.32
423,1564963200,136987,9798413319845,60.25
424,1564876800,129137,9224192648078,60.15
425,1564790400,126515,9045465639415,60.22
426,1564704000,132860,9495452659733,60.65
427,1564617600,129507,9299199017027,59.58
428,1564531200,129630,9290389048630,59.95
429,1564444800,130801,9278846353961,61.27
430,1564358400,137304,9834993141865,59.96
431,1564272000,130723,9344722816298,60.0
432,1564185600,132297,9434052151524,60.47
433,1564099200,135489,9696519261609,60.69
434,1564012800,130600,9349257665240,60.15
435,1563926400,130566,9340080678174,60.27
436,1563840000,128360,9199586348235,60.58
437,1563753600,134474,9670318845613,60.08
438,1563667200,129386,9236781662538,60.5
439,1563580800,127388,9135601358250,59.82
440,1563494400,124735,8917812484662,60.44
441,1563408000,126175,9034217210312,59.94
442,1563321600,121032,8651878982476,60.57
443,1563235200,125767,8941871709399,60.55
444,1563148800,130465,9321485648924,60.31
445,1563062400,134159,9593994421688,60.02
446,1562976000,124793,8939259239502,60.01
447,1562889600,128665,9163797650477,60.57
448,1562803200,124219,8873685723939,60.16
449,1562716800,126170,8989514309862,60.5
450,1562630400,127971,9191587559011,59.56
451,1562544000,127908,9100417524104,61.1
452,1562457600,133545,9546851201347,60.18
453,1562371200,136355,9703877136981,60.68
454,1562284800,132557,9527334564486,59.92
455,1562198400,129062,9240704461367,59.94
456,1562112000,123903,8871314501184,60.72
457,1562025600,130071,9310871499734,59.91
458,1561939200,130525,9321391694217,60.28
459,1561852800,126756,9079251480187,60.21
460,1561766400,132425,9427778814610,60.36
461,1561680000,129051,9204661045570,60.84
462,1561593600,133288,9557233782894,59.79
463,1561507200,143682,10322677979731,59.98
464,1561420800,131904,9510305185462,59.64
465,1561334400,139004,9868786013915,61.67
466,1561248000,144481,10333622205149,60.22
467,1561161600,141614,10142338097390,59.82
468,1561075200,144413,10286555084009,60.76
469,1560988800,138369,9902105976559,60.32
470,1560902400,141287,10088592065256,60.21
471,1560816000,136936,9786224634468,60.41
472,1560729600,147187,10508616414034,60.32
473,1560643200,160042,11463304561571,60.84
474,1560556800,156203,11236842959381,59.24
475,1560470400,148623,10686760135199,59.56
476,1560384000,140513,10012024439788,61.92
477,1560297600,149093,10680708487348,60.63
478,1560211200,156664,11179886880739,60.47
479,1560124800,152373,10901447096529,60.25
480,1560038400,159513,11372844417205,60.41
481,1559952000,154907,11038759938120,61.13
482,1559865600,158381,11372686704983,59.73
483,1559779200,163140,11719172336123,60.15
484,1559692800,163242,11645784644390,60.49
485,1559606400,157145,11263312792173,60.14
486,1559520000,153297,10991904434978,59.69
487,1559433600,159246,11339635706648,60.68
488,1559347200,155987,11158944844518,59.96
489,1559260800,151510,10859507303998,59.93
490,1559174400,150727,10762300524478,60.47
491,1559088000,148279,10627459087795,60.3
492,1559001600,156204,11188289146645,60.22
493,1558915200,154183,11048967644872,59.96
494,1558828800,155070,11118272195074,60.38
495,1558742400,153754,11001953451247,60.23
496,1558656000,155565,11130682376067,60.16
497,1558569600,156024,11164713599938,60.29
498,1558483200,144201,10356344026670,59.86
499,1558396800,144907,10360447858450,60.31
500,1558310400,142309,10196312726831,60.2
501,1558224000,151112,10831116650046,60.79
502,1558137600,150229,10758284256910,60.04
503,1558051200,153279,10962029672526,60.65
504,1557964800,170214,12245666282411,59.84
505,1557878400,165839,11842010508432,60.92
506,1557792000,163536,11653153784689,60.62
507,1557705600,161398,11546261898776,60.02
508,1557619200,163780,11713997026275,60.3
509,1557532800,161935,11553088234303,60.45
510,1557446400,169975,12207003514845,60.23
511,1557360000,161193,11545551305721,60.0
512,1557273600,170670,12221840930085,60.43
513,1557187200,169848,12145027073248,60.64
514,1557100800,171395,12290914864029,60.03
515,1557014400,166327,11907168294074,60.19
516,1556928000,171397,12217664220980,60.79
517,1556841600,176594,12628229915259,60.1
518,1556755200,171642,12290027262888,59.81
519,1556668800,176208,12565298298001,60.78
520,1556582400,173173,12409952527978,59.92
521,1556496000,173594,12373023784022,61.2
522,1556409600,188289,13459039008114,59.72
523,1556323200,175894,12643702396492,60.21
524,1556236800,177779,12692505410134,60.25
525,1556150400,176071,12625527287964,60.0
526,1556064000,180889,12935519762643,60.21
527,1555977600,178515,12771350097703,60.49
528,1555891200,173512,12391092304347,60.15
529,1555804800,185273,13234179714781,60.74
530,1555718400,180784,12945597984849,60.05
531,1555632000,183491,13197892280993,60.23
532,1555545600,179918,12832570468242,60.32
533,1555459200,179973,12833202018705,60.84
534,1555372800,169738,12183344716820,59.64
535,1555286400,172918,12416083696067,60.16
536,1555200000,178797,12776102873845,60.66
537,1555113600,182618,13080483806534,60.21
538,1555027200,179501,12914116219689,59.74
539,1554940800,166276,11856003564622,60.49
540,1554854400,175022,12540652275987,60.12
541,1554768000,167871,11940373834559,60.82
542,1554681600,170547,12262725162002,59.69
543,1554595200,167539,11949930235062,60.6
544,1554508800,163222,11728403865524,59.92
545,1554422400,163800,11711986882571,60.66
546,1554336000,158941,11427993692308,60.05
547,1554249600,166520,11949021822586,60.21
548,1554163200,165350,11761059935728,60.78
549,1554076800,170540,12186556475717,60.15
550,1553990400,163573,11706430843266,60.1
551,1553904000,173714,12447493468307,60.24
552,1553817600,172768,12323922788612,60.54
553,1553731200,174911,12515013161231,60.21
554,1553644800,172012,12316564979291,60.35
555,1553558400,168112,12067724360163,60.16
556,1553472000,182360,13028528428254,60.22
557,1553385600,161852,11550491933601,60.4
558,1553299200,144188,10385891323524,59.51
559,1553212800,135556,9684092854493,60.28
560,1553126400,126916,9100593076816,59.77
561,1553040000,122023,8720808382418,60.0
562,1552953600,115244,8227384953641,60.45
563,1552867200,104373,7483013945200,59.92
564,1552780800,101891,7318461516195,60.07
565,1552694400,102880,7353136978104,60.19
566,1552608000,99941,7135956497956,60.64
567,1552521600,101154,7260954687819,59.65
568,1552435200,95993,6865620495942,60.3
569,1552348800,94124,6783101504307,59.83
570,1552262400,102020,7287768235674,60.84
571,1552176000,105275,7495028218603,61.09
572,1552089600,108955,7794453394725,60.14
573,1552003200,113629,8127105705094,60.22
574,1551916800,100018,7190690175598,59.51
575,1551830400,86703,6195161220593,60.18
576,1551744000,86979,6225648213108,59.94
577,1551657600,82663,5930145279498,59.81
578,1551571200,71974,5156182505608,60.06
579,1551484800,65642,4713695728699,59.88
580,1551398400,58747,4210507071222,60.4
581,1551312000,55288,3959077023267,59.38
582,1551225600,47321,3393871048758,60.46
583,1551139200,46713,3362114512262,59.1
584,1551052800,46023,3278925906249,60.76
585,1550966400,46899,3359724471716,59.97
586,1550880000,46937,3365190813164,60.34
587,1550793600,47571,3403777139150,60.13
588,1550707200,45792,3268466122409,60.44
589,1550620800,45285,3239063387131,60.46
590,1550534400,46223,3300631174910,60.16
591,1550448000,45349,3249617204815,60.38
592,1550361600,47956,3430428078465,60.39
593,1550275200,46905,3339280218137,60.54
594,1550188800,47822,3433021945902,60.26
595,1550102400,49947,3556430443953,60.59
596,1550016000,49692,3577005357181,59.66
597,1549929600,46499,3306483555933,61.17
598,1549843200,45453,3253867470883,60.25
599,1549756800,41349,2962109645189,60.18
600,1549670400,41304,2962309615446,59.89
601,1549584000,42128,3018204929201,60.33
602,1549497600,40922,2924750152487,60.25
603,1549411200,39604,2830404902197,60.91
604,1549324800,43830,3129231456944,61.49
605,1549238400,47451,3414099206821,59.59
606,1549152000,49581,3530693759149,60.83
607,1549065600,51035,3646775991178,60.03
608,1548979200,52949,3763076510230,61.04
609,1548892800,51675,3700429339047,60.09
610,1548806400,52953,3795044564149,60.01
611,1548720000,52718,3765400853932,60.69
612,1548633600,53941,3870495519686,59.67
613,1548547200,53556,3817125392853,60.56
614,1548460800,54703,3926335644297,59.93
615,1548374400,57022,4063749750889,60.6
616,1548288000,53876,3849025285677,60.34
617,1548201600,53455,3839325347691,60.11
618,1548115200,54157,3870946890998,60.02
619,1548028800,52603,3756786443572,60.01
620,1547942400,54350,3881646621287,60.52
621,1547856000,56323,4025943991843,60.39
622,1547769600,54323,3882714072911,60.48
623,1547683200,53255,3803349518138,60.3
624,1547596800,50796,3619243114822,60.41
625,1547510400,52872,3793635206595,60.04
626,1547424000,52979,3775843834927,60.55
627,1547337600,55113,3939068100996,60.26
628,1547251200,57493,4111304474147,60.07
629,1547164800,54309,3878462497105,60.21
630,1547078400,55194,3947563867258,59.98
631,1546992000,54604,3903141478136,60.39
632,1546905600,51537,3677125072219,60.98
633,1546819200,51967,3737401949984,59.72
634,1546732800,52453,3762943520971,59.97
635,1546646400,53285,3810427883495,60.1
636,1546560000,49753,3553924519742,60.56
637,1546473600,51710,3690532696337,60.67
638,1546387200,51060,3662429076378,60.27
639,1546300800,54207,3887230872254,60.49
640,1546214400,57224,4092661245756,59.93
641,1546128000,55319,3953540912996,60.66
642,1546041600,56741,4057305966868,60.33
643,1545955200,55436,3956051600403,60.54
644,1545868800,55911,4021582328019,59.7
645,1545782400,55790,3995709565120,60.5
646,1545696000,54068,3865866533319,60.74
647,1545609600,56771,4082545896901,59.28
648,1545523200,56732,4051836584275,60.93
649,1545436800,59642,4298936298996,60.13
650,1545350400,54627,3898659280612,60.49
651,1545264000,57246,4085885984793,60.51
652,1545177600,59342,4275605166414,59.75
653,1545091200,55812,3986781220614,60.12
654,1545004800,56683,4063478921984,60.62
655,1544918400,59847,4272139868151,60.54
656,1544832000,59542,4277732220453,59.81
657,1544745600,57886,4125352113068,60.33
658,1544659200,58470,4183203968421,60.17
659,1544572800,58217,4162790407890,59.96
660,1544486400,60662,4338218957175,60.64
661,1544400000,59734,4273388789060,60.42
662,1544313600,62553,4481168032767,59.92
663,1544227200,62091,4422225296465,60.84
664,1544140800,63986,4597226261983,59.78
665,1544054400,62955,4514226428375,60.42
666,1543968000,62268,4449395186749,60.57
667,1543881600,63683,4550148353274,60.34
668,1543795200,66227,4719744729406,60.43
669,1543708800,68206,4929080822721,59.54
670,1543622400,67514,4799976796641,61.27
671,1543536000,70068,5002545240081,60.23
672,1543449600,69049,4943231548747,60.01
673,1543363200,69767,5008291815715,60.1
674,1543276800,67509,4822546351481,60.35
675,1543190400,67041,4820493955464,60.02
676,1543104000,63615,4544227062095,60.5
677,1543017600,67743,4861877973947,60.06
678,1542931200,66251,4731709024308,60.19
679,1542844800,66523,4762859900735,60.23
680,1542758400,69424,4963071589134,60.39
681,1542672000,72048,5169190770697,59.88
682,1542585600,71568,5103819186958,60.62
683,1542499200,72754,5201780988005,60.53
684,1542412800,74685,5321878051339,60.61
685,1542326400,75504,5392854766812,60.42
686,1542240000,74050,5316888499792,59.9
687,1542153600,77916,5580518539517,60.83
688,1542067200,83894,5990199576786,60.49
689,1541980800,83401,5978410794463,60.26
690,1541894400,88872,6366966291907,59.99
691,1541808000,86631,6213650567954,60.47
692,1541721600,88957,6360360737316,60.04
693,1541635200,85875,6117576016672,60.49
